word,count
aa,131
ab,9080
ac,12593
ad,5972
ae,4775
af,1359
ag,5539
ah,856
ai,3928
aj,189
ak,2029
al,28181
am,7539
an,28280
ao,271
ap,7214
aq,199
ar,21445
as,10042
at,27281
au,3553
av,2089
aw,1132
ax,905
ay,1523
az,899
ba,5297
bb,927
bc,211
bd,316
be,5495
bf,73
bg,43
bh,115
bi,5587
bj,164
bk,14
bl,8769
bm,147
bn,79
bo,4116
bp,118
bq,6
br,4028
bs,801
bt,295
bu,2823
bv,82
bw,48
by,414
bz,4
ca,15209
cb,9
cc,1525
cd,24
ce,10498
cf,4
cg,4
ch,13313
ci,7291
ck,3697
cl,3272
cm,35
cn,164
co,16091
cp,13
cq,96
cr,5504
cs,475
ct,6945
cu,5111
cw,10
cy,2814
cz,30
da,6287
db,183
dc,100
dd,1034
de,13718
df,218
dg,584
dh,299
di,12290
dj,146
dk,25
dl,2113
dm,390
dn,1057
do,5600
dp,91
dq,6
dr,3434
ds,577
dt,78
du,2102
dv,232
dw,299
dy,1338
dz,19
ea,10091
eb,1945
ec,8384
ed,14742
ee,3997
ef,2285
eg,2576
eh,941
ei,2681
ej,226
ek,392
el,12820
em,8081
en,25078
eo,4196
ep,5890
eq,588
er,42519
es,20706
et,12059
eu,3104
ev,1997
ew,1462
ex,3281
ey,905
ez,253
fa,2140
fb,23
fc,10
fd,17
fe,3217
ff,1744
fg,11
fh,27
fi,4053
fj,4
fk,8
fl,2471
fm,22
fn,24
fo,3706
fp,11
fr,1677
fs,46
ft,808
fu,2629
fv,1
fw,30
fy,572
fz,3
ga,5001
gb,116
gc,18
gd,81
ge,7767
gf,66
gg,1139
gh,1704
gi,5449
gj,3
gk,18
gl,4089
gm,581
gn,1878
go,3264
gp,40
gr,4769
gs,289
gt,118
gu,2453
gv,2
gw,132
gy,1689
gz,8
ha,9385
hb,180
hc,69
hd,84
he,12378
hf,198
hg,43
hh,74
hi,10437
hj,4
hk,31
hl,1332
hm,587
hn,766
ho,10397
hp,116
hq,5
hr,3106
hs,170
ht,1645
hu,1831
hv,18
hw,297
hy,6462
hz,6
ia,15280
ib,3114
ic,26519
id,10733
ie,4022
if,4328
ig,4475
ih,276
ii,420
ij,77
ik,1916
il,10334
im,5178
in,33725
io,15379
ip,5100
iq,287
ir,4554
is,24211
it,16956
iu,1790
iv,5208
iw,78
ix,494
iy,55
iz,4596
ja,796
jb,1
jd,4
je,612
jh,6
ji,200
jj,2
jk,1
jl,2
jm,2
jn,4
jo,596
jp,2
jr,8
jt,1
ju,905
jw,1
jy,8
ka,1433
kb,148
kc,37
kd,38
ke,4979
kf,124
kg,21
kh,295
ki,2546
kj,18
kk,73
kl,774
km,160
kn,465
ko,598
kp,66
kr,223
ks,410
kt,139
ku,319
kv,8
kw,202
ky,445
kz,2
la,16935
lb,484
lc,838
ld,1396
le,23356
lf,539
lg,578
lh,165
li,20890
lj,6
lk,506
ll,11423
lm,983
ln,741
lo,13011
lp,1083
lq,7
lr,112
ls,695
lt,2330
lu,4434
lv,760
lw,215
lx,3
ly,14059
lz,25
ma,13715
mb,2638
mc,57
md,47
me,12267
mf,142
mg,21
mh,50
mi,11361
mj,6
mk,18
ml,253
mm,2021
mn,763
mo,8705
mp,4384
mq,2
mr,65
ms,278
mt,43
mu,2536
mv,44
mw,66
my,2355
mz,4
na,12664
nb,956
nc,8693
nd,9635
ne,21746
nf,2137
ng,13073
nh,915
ni,15246
nj,341
nk,1346
nl,1230
nm,985
nn,2422
no,12187
np,1482
nq,331
nr,1306
ns,6457
nt,19988
nu,2160
nv,1031
nw,693
nx,74
ny,1331
nz,385
oa,2425
ob,3226
oc,7961
od,5588
oe,1760
of,1486
og,7624
oh,766
oi,4110
oj,97
ok,1069
ol,12468
om,12366
on,29816
oo,4687
op,11283
oq,218
or,19805
os,10891
ot,8963
ou,13001
ov,3750
ow,2603
ox,1373
oy,603
oz,494
pa,8573
pb,128
pc,78
pd,32
pe,11229
pf,99
pg,39
ph,13196
pi,6866
pj,12
pk,42
pl,4978
pm,137
pn,389
po,8768
pp,2023
pq,2
pr,9757
ps,2246
pt,3256
pu,2508
pv,3
pw,134
py,1480
qa,2
qe,2
qi,4
qo,2
qq,1
qr,1
qu,3715
ra,23807
rb,1924
rc,3857
rd,3672
re,23965
rf,957
rg,2010
rh,1602
ri,23288
rj,109
rk,1191
rl,1865
rm,4782
rn,2802
ro,22403
rp,2423
rq,82
rr,3649
rs,3669
rt,5672
ru,3944
rv,1099
rw,653
rx,7
ry,6056
rz,67
sa,5954
sb,265
sc,6509
sd,143
se,11497
sf,276
sg,153
sh,7367
si,12070
sj,43
sk,1027
sl,2264
sm,5606
sn,1568
so,6009
sp,5765
sq,705
sr,164
ss,14431
st,22093
su,6558
sv,77
sw,830
sy,2130
sz,11
ta,14461
tb,280
tc,1062
td,89
te,29447
tf,467
tg,124
th,12103
ti,31688
tj,32
tk,40
tl,2236
tm,581
tn,476
to,15286
tp,222
tq,9
tr,14166
ts,777
tt,3233
tu,4765
tv,47
tw,731
tx,1
ty,5564
tz,146
ua,2731
ub,3283
uc,2899
ud,2363
ue,2000
uf,553
ug,1403
uh,61
ui,2613
uj,43
uk,295
ul,9783
um,6001
un,19219
uo,671
up,3101
uq,21
ur,8992
us,14589
ut,5475
uu,27
uv,259
uw,17
ux,244
uy,82
uz,140
va,3212
vc,3
vd,1
ve,10718
vg,1
vi,4226
vk,2
vl,7
vn,5
vo,1545
vr,33
vs,8
vu,286
vv,12
vy,81
vz,3
wa,3083
wb,132
wc,32
wd,143
we,2121
wf,80
wg,28
wh,930
wi,2297
wj,1
wk,97
wl,372
wm,89
wn,563
wo,2174
wp,49
wq,2
wr,428
ws,216
wt,87
wu,68
wv,1
ww,57
wy,111
wz,11
xa,764
xb,29
xc,391
xd,10
xe,537
xf,30
xg,7
xh,116
xi,1420
xk,2
xl,41
xm,27
xn,9
xo,570
xp,550
xq,10
xr,7
xs,56
xt,778
xu,161
xv,2
xw,24
xy,597
xz,1
ya,1446
yb,289
yc,1696
yd,1137
ye,953
yf,142
yg,742
yh,159
yi,621
yj,3
yk,47
yl,3010
ym,1796
yn,1699
yo,1255
yp,2686
yq,5
yr,1587
ys,2359
yt,1641
yu,136
yv,17
yw,204
yx,166
yy,4
yz,135
za,1677
zb,12
zc,9
zd,15
ze,3614
zf,2
zg,7
zh,7
zi,708
zk,4
zl,127
zm,6
zn,4
zo,1400
zp,3
zr,8
zs,7
zt,11
zu,80
zv,2
zw,10
zy,334
zz,271
